name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,SkillGain,Subject,organization,fee,program,RelationInsOrg,Subtitle
Big Data Services: Capstone Project,https://www.coursera.org/learn/big-data-services,,"1,792","Alexey A. Dral,Ivan Puzyrevskiy",3 hours,Advanced,,"Are you ready to close the loop on your Big Data skills? Do you want to apply all your knowledge you got from the previous courses in practice? Finally, in the Capstone project, you will integrate all the knowledge acquired earlier to build a real application leveraging the power of Big Data. You will be given a task to combine data from different sources of different types (static distributed dataset, streaming data, SQL or NoSQL storage). Combined, this data will be used to build a predictive model for a financial market (as an example). First, you design a system from scratch and share it with your peers to get valuable feedback. Second, you can make it public, so get ready to receive the feedback from your service users. Real-world experience without any 3G-glasses or mock interviews.",,Data Science,Yandex,Enroll for Free,,"Alexey A. Dral work for Coursera, Moscow Institute of Physics and Technology, Yandex,Ivan Puzyrevskiy work for Yandex",Subtitles: English
BigQuery Basics for Data Analysts,https://www.coursera.org/learn/bigquery-basics-data-analysts,4.7,"3,033",Google Cloud Training,5 hours,Beginner,,"Want to scale your data analysis efforts without managing database hardware? Learn the best practices for querying and getting insights from your data warehouse with this interactive collection of BigQuery Google Cloud Labs Series. BigQuery is Google's fully managed, NoOps, low-cost analytics database. With BigQuery you can query terabytes and terabytes of data without having any infrastructure to manage or needing a database administrator. BigQuery uses SQL and can take advantage of the pay-as-you-go model. BigQuery allows you to focus on analyzing data to find meaningful insights. Note: you will have timed access to the online environment. You will need to complete the lab within the allotted time.",Bigquery          Data Analysis          data          SQL      ,Data Science,Google Cloud,Enroll,,Google Cloud Training work for Google Cloud,English
Big Data Modeling and Management Systems,https://www.coursera.org/learn/big-data-management,4.4,"83,258","Ilkay Altintas,Amarnath Gupta",13 hours,,,"Once you’ve identified a big data issue to analyze, how do you collect, store and organize your data using Big Data solutions?. In this course, you will experience various data genres and management tools appropriate for each. You will be able to describe the reasons behind the evolving plethora of new big data platforms from the perspective of big data management systems and analytical tools. Through guided hands-on tutorials, you will become familiar with techniques using real-time and semi-structured data examples. Systems and tools discussed include: AsterixDB, HP Vertica, Impala, Neo4j, Redis, SparkSQL. This course provides techniques to extract value from existing untapped data sources and discovering new data sources. At the end of this course, you will be able to: * Recognize different data elements in your own work and in everyday life problems * Explain why your team needs to design a Big Data Infrastructure Plan and Information System Design * Identify the frequent data operations required for various types of data * Select a data model to suit the characteristics of your data. * Apply techniques to handle streaming data * Differentiate between a traditional Database Management System and a Big Data Management System * Appreciate why there are so many data management systems * Design a big data information system for an online game companyThis course is for those new to data science. Completion of Intro to Big Data is recommended. No prior programming experience is needed, although the ability to install applications and utilize a virtual machine is necessary to complete the hands-on assignments. Refer to the specialization technical requirements for complete hardware and software specifications.Hardware Requirements: (A) Quad Core Processor (VT-x or AMD-V support recommended), 64-bit; (B) 8 GB RAM; (C) 20 GB disk free. How to find your hardware information: (Windows): Open System by clicking the Start button, right-clicking Computer, and then clicking Properties; (Mac): Open Overview by clicking on the Apple menu and clicking “About This Mac.” Most computers with 8 GB RAM purchased in the last 3 years will meet the minimum requirements.You will need a high speed internet connection because you will be downloading files up to 4 Gb in size. Software Requirements: This course relies on several open-source software tools, including Apache Hadoop. All required software can be downloaded and installed free of charge (except for data charges from your internet provider). Software requirements include: Windows 7+, Mac OS X 10.10+, Ubuntu 14.04+ or CentOS 6+ VirtualBox 5+.",Data Model          Big Data          Data Modeling          Data Management      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,"Ilkay Altintas work for University of California San Diego,Amarnath Gupta work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, Turkish, English, Spanish"
Machine Learning With Big Data,https://www.coursera.org/learn/big-data-machine-learning,4.6,"61,519","Mai Nguyen,Ilkay Altintas",22 hours,,,"Want to make sense of the volumes of data you have collected?. Need to incorporate data-driven decisions into your process?. This course provides an overview of machine learning techniques to explore, analyze, and leverage data. You will be introduced to tools and algorithms you can use to create machine learning models that learn from data, and to scale those models up to big data problems. At the end of the course, you will be able to:•	Design an approach to leverage data using the steps in the machine learning process.•	Apply machine learning techniques to explore and prepare data for modeling.•	Identify the type of machine learning problem in order to apply the appropriate set of techniques.•	Construct models that learn from data using widely available open source tools.•	Analyze big data problems using scalable machine learning algorithms on Spark.Software Requirements: Cloudera VM, KNIME, Spark",Machine Learning Concepts          Knime          Machine Learning          Apache Spark      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,"Mai Nguyen work for University of California San Diego,Ilkay Altintas work for University of California San Diego","Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Big Data - Capstone Project,https://www.coursera.org/learn/big-data-project,4.4,"13,455","Ilkay Altintas,Amarnath Gupta",21 hours,,,"Welcome to the Capstone Project for Big Data! In this culminating project, you will build a big data ecosystem using tools and methods form the earlier courses in this specialization. You will analyze a data set simulating big data generated from a large number of users who are playing our imaginary game ""Catch the Pink Flamingo"". During the five week Capstone Project, you will walk through the typical big data science steps for acquiring, exploring, preparing, analyzing, and reporting. In the first two weeks, we will introduce you to the data set and guide you through some exploratory analysis using tools such as Splunk and Open Office. Then we will move into more challenging big data problems requiring the more advanced tools you have learned including KNIME, Spark's MLLib and Gephi. Finally, during the fifth and final week, we will show you how to bring it all together to create engaging and compelling reports and slide presentations. As a result of our collaboration with Splunk, a software company focus on analyzing machine-generated big data, learners with the top projects will be eligible to present to Splunk and meet Splunk recruiters and engineering leadership.",Big Data          Neo4j          Knime          Splunk      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,"Ilkay Altintas work for University of California San Diego,Amarnath Gupta work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish, Polish"
Big data and Language 2,https://www.coursera.org/learn/big-data-language-2,,"2,254",Seonmin Park,5 hours,Beginner,,"In this course, students will understand characteristics of language through big data. Students will learn how to collect and analyze big data, and find linguistic features from the data. A number of approaches to the linguistic analysis of written and spoken texts will be discussed.",,Language Learning,Korea Advanced Institute of Science and Technology(KAIST),Enroll for Free,,Seonmin Park work for Korea Advanced Institute of Science and Technology(KAIST),"Subtitles: French, Portuguese (European), Russian, English, Spanish"
Graph Analytics for Big Data,https://www.coursera.org/learn/big-data-graph-analytics,4.3,"42,389",Amarnath Gupta,13 hours,,,"Want to understand your data network structure and how it changes under different conditions? Curious to know how to identify closely interacting clusters within a graph? Have you heard of the fast-growing area of graph analytics and want to learn more? This course gives you a broad overview of the field of graph analytics so you can learn new ways to model, store, retrieve and analyze graph-structured data. After completing this course, you will be able to model a problem into a graph database and perform analytical tasks over the graph in a scalable manner. Better yet, you will be able to apply these techniques to understand the significance of your data sets for your own projects.",Graph Theory          Neo4j          Analytics          Graph Database      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,Amarnath Gupta work for University of California San Diego,"Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Introduction to Big Data,https://www.coursera.org/learn/big-data-introduction,4.6,"272,795","Ilkay Altintas,Amarnath Gupta",17 hours,,,"Interested in increasing your knowledge of the Big Data landscape?. This course is for those new to data science and interested in understanding why the Big Data Era has come to be. It is for those who want to become conversant with the terminology and the core concepts behind big data problems, applications, and systems. It is for those who want to start thinking about how Big Data might be useful in their business or career. It provides an introduction to one of the most common frameworks, Hadoop, that has made big data analysis easier and more accessible -- increasing the potential for data to transform our world!. At the end of this course, you will be able to:* Describe the Big Data landscape including examples of real world big data problems including the three key sources of Big Data: people, organizations, and sensors. * Explain the V’s of Big Data (volume, velocity, variety, veracity, valence, and value) and why each impacts data collection, monitoring, storage, analysis and reporting.* Get value out of Big Data by using a 5-step process to structure your analysis. * Identify what are and what are not big data problems and be able to recast big data problems as data science questions.* Provide an explanation of the architectural components and programming models used for scalable big data analysis.* Summarize the features and value of core Hadoop stack components including the YARN resource and job management system, the HDFS file system and the MapReduce programming model.* Install and run a program using Hadoop!This course is for those new to data science. No prior programming experience is needed, although the ability to install applications and utilize a virtual machine is necessary to complete the hands-on assignments. Hardware Requirements:(A) Quad Core Processor (VT-x or AMD-V support recommended), 64-bit; (B) 8 GB RAM; (C) 20 GB disk free. How to find your hardware information: (Windows): Open System by clicking the Start button, right-clicking Computer, and then clicking Properties; (Mac): Open Overview by clicking on the Apple menu and clicking “About This Mac.” Most computers with 8 GB RAM purchased in the last 3 years will meet the minimum requirements.You will need a high speed internet connection because you will be downloading files up to 4 Gb in size. Software Requirements:This course relies on several open-source software tools, including Apache Hadoop. All required software can be downloaded and installed free of charge. Software requirements include: Windows 7+, Mac OS X 10.10+, Ubuntu 14.04+ or CentOS 6+ VirtualBox 5+.",Big Data          Apache Hadoop          Mapreduce          Cloudera      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,"Ilkay Altintas work for University of California San Diego,Amarnath Gupta work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish, Hindi, Persian"
Big Data Emerging Technologies,https://www.coursera.org/learn/big-data-emerging-technologies,4.7,"18,651",Jong-Moon Chung,30 hours,Beginner,,"Every time you use Google to search something, every time you use Facebook, Twitter, Instagram or any other SNS (Social Network Service), and every time you buy from a recommended list of products on Amazon.com you are using a big data system. In addition, big data technology supports your smartphone, smartwatch, Alexa, Siri, and automobile (if it is a newer model) every day. The top companies in the world are currently using big data technology, and every company is in need of advanced big data technology support. Simply put, big data technology is not an option for your company, it is a necessity for survival and growth. So now is the right time to learn what big data is and how to use it in advantage of your company. This 6 module course first focuses on the world’s industry market share rankings of big data hardware, software, and professional services, and then covers the world’s top big data product line and service types of the major big data companies. Then the lectures focused on how big data analysis is possible based on the world’s most popular three big data technologies Hadoop, Spark, and Storm. The last part focuses on providing experience on one of the most famous and widely used big data statistical analysis systems in the world, the IBM SPSS Statistics. This course was designed to prepare you to be more successful in businesses strategic planning in the upcoming big data era. Welcome to the amazing Big Data world!",,Information Technology,Yonsei University,Enroll for Free,Emerging Technologies: From Smartphones to IoT to Big Data Specialization,"Jong-Moon Chung work for Yonsei University, Coursera","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Big Data Essentials: HDFS, MapReduce and Spark RDD",https://www.coursera.org/learn/big-data-essentials,3.9,"51,942","Ivan Puzyrevskiy,Emeli Dral ,Evgeniy Riabenko,Alexey A. Dral,Pavel Mezentsev ",41 hours,Intermediate,,"Have you ever heard about such technologies as HDFS, MapReduce, Spark? Always wanted to learn these new tools but missed concise starting material? Don’t miss this course either!. In this 6-week course you will:- learn some basic technologies of the modern Big Data landscape, namely: HDFS, MapReduce and Spark;- be guided both through systems internals and their applications;- learn about distributed file systems, why they exist and what function they serve;- grasp the MapReduce framework, a workhorse for many modern Big Data applications;- apply the framework to process texts and solve sample business cases;- learn about Spark, the next-generation computational framework;- build a strong understanding of Spark basic concepts;- develop skills to apply these tools to creating solutions in finance, social networks, telecommunications and many other fields.Your learning experience will be as close to real life as possible with the chance to evaluate your practical assignments on a real cluster. No mocking, a friendly considerate atmosphere to make the process of your learning smooth and enjoyable. Get ready to work with real datasets alongside with real masters!Special thanks to:- Prof. Mikhail Roytberg, APT dept., MIPT, who was the initial reviewer of the project, the supervisor and mentor of half of the BigData team. He was the one, who helped to get this show on the road.- Oleg Sukhoroslov (PhD, Senior Researcher at IITP RAS), who has been teaching. MapReduce, Hadoop. and friends since 2008. Now he is leading the infrastructure team.- Oleg Ivchenko (PhD student APT dept., MIPT), Pavel Akhtyamov (MSc. student at APT dept., MIPT) and Vladimir Kuznetsov (Assistant at P.G. Demidov Yaroslavl State University), superbrains who have developed and now maintain the infrastructure used for practical assignments in this course.- Asya Roitberg, Eugene Baulin, Marina Sudarikova. These people never sleep to babysit this course day and night, to make your learning experience productive, smooth and exciting.",Python Programming          Apache Hadoop          Mapreduce          Apache Spark      ,Computer Science,Yandex,Enroll for Free,,"Ivan Puzyrevskiy work for Yandex,Emeli Dral  work for Moscow Institute of Physics and Technology, Yandex, E-Learning Development Fund,Evgeniy Riabenko work for HSE University, Moscow Institute of Physics and Technology, Yandex, E-Learning Development Fund,Alexey A. Dral work for Coursera, Moscow Institute of Physics and Technology, Yandex,Pavel Mezentsev  work for Moscow Institute of Physics and Technology, Yandex","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Big data and Language 1,https://www.coursera.org/learn/big-data-language-1,4.5,"5,125",Seonmin Park,4 hours,Beginner,,"In this course, students will understand characteristics of language through big data. Students will learn how to collect and analyze big data, and find linguistic features from the data. A number of approaches to the linguistic analysis of written and spoken texts will be discussed. The class will consist of lecture videos which are approximately 1 hour and a quiz for each week. There will be a final project which requires students to conduct research on text data and language.",,Language Learning,Korea Advanced Institute of Science and Technology(KAIST),Enroll for Free,,Seonmin Park work for Korea Advanced Institute of Science and Technology(KAIST),"Subtitles: French, Portuguese (European), Russian, English, Spanish"
Big Data Analysis Deep Dive,https://www.coursera.org/learn/big-data-analysis-deep-dive,,,Jeremy Pedersen,14 hours,Intermediate,,"The job market for architects, engineers, and analytics professionals with Big Data expertise continues to increase. The Academy’s Big Data Career path focuses on the fundamental tools and techniques needed to pursue a career in Big Data.  This course includes: data processing with python, writing and reading SQL queries, transmitting data with MaxCompute, analyzing data with Quick BI, using Hive, Hadoop, and spark on E-MapReduce, and how to visualize data with data dashboards. Work through our course material, learn different aspects of the Big Data field, and get certified as a Big Data Professional!",Big Data          Big Data Transmission          Big Data Visualisation      ,Information Technology,Alibaba Cloud Academy,Enroll for Free,,Jeremy Pedersen work for Alibaba Cloud Academy,English
Big Data Integration and Processing,https://www.coursera.org/learn/big-data-integration-processing,4.4,"64,488","Ilkay Altintas,Amarnath Gupta",18 hours,Beginner,,"At the end of the course, you will be able to:. *Retrieve data from example database and big data management systems *Describe the connections between data management operations and the big data processing patterns needed to utilize them in large-scale analytical applications*Identify when a big data problem needs data integration*Execute simple big data integration and processing on Hadoop and Spark platformsThis course is for those new to data science. Completion of Intro to Big Data is recommended. No prior programming experience is needed, although the ability to install applications and utilize a virtual machine is necessary to complete the hands-on assignments. Refer to the specialization technical requirements for complete hardware and software specifications.Hardware Requirements: (A) Quad Core Processor (VT-x or AMD-V support recommended), 64-bit; (B) 8 GB RAM; (C) 20 GB disk free. How to find your hardware information: (Windows): Open System by clicking the Start button, right-clicking Computer, and then clicking Properties; (Mac): Open Overview by clicking on the Apple menu and clicking “About This Mac.” Most computers with 8 GB RAM purchased in the last 3 years will meet the minimum requirements.You will need a high speed internet connection because you will be downloading files up to 4 Gb in size. Software Requirements: This course relies on several open-source software tools, including Apache Hadoop. All required software can be downloaded and installed free of charge (except for data charges from your internet provider). Software requirements include: Windows 7+, Mac OS X 10.10+, Ubuntu 14.04+ or CentOS 6+ VirtualBox 5+.",Big Data          Mongodb          Splunk          Apache Spark      ,Data Science,University of California San Diego,Enroll for Free,Big Data Specialization,"Ilkay Altintas work for University of California San Diego,Amarnath Gupta work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, English, Spanish"
Building Batch Data Pipelines on GCP,https://www.coursera.org/learn/batch-data-pipelines-gcp,4.5,"30,298",Google Cloud Training,13 hours,Intermediate,,"Data pipelines typically fall under one of the Extra-Load, Extract-Load-Transform or Extract-Transform-Load paradigms. This course describes which paradigm should be used and when for batch data. Furthermore, this course covers several technologies on Google Cloud Platform for data transformation including BigQuery, executing Spark on Cloud Dataproc, pipeline graphs in Cloud Data Fusion and serverless data processing with Cloud Dataflow. Learners will get hands-on experience building data pipeline components on Google Cloud Platform using Qwiklabs.",,Information Technology,Google Cloud,Enroll,,Google Cloud Training work for Google Cloud,"Subtitles: French, Portuguese (European), Russian, English, Spanish"
"Big Data, Artificial Intelligence, and Ethics",https://www.coursera.org/learn/big-data-ai-ethics,4.6,"18,760",Martin Hilbert,12 hours,Beginner,,Define and discuss big data opportunities and limitations. Work with IBM Watson and analyze a personality through Natural Language Programming (NLP). Examine how AI is used through case studies. Examine and discuss the roles ethics play in AI and big data.,,Data Science,"University of California, Davis",Enroll for Free,Computational Social Science Specialization,"Martin Hilbert work for University of California, Davis","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Basic Data Processing and Visualization,https://www.coursera.org/learn/basic-data-processing-visualization-python,4.3,"17,086","Julian McAuley,Ilkay Altintas",11 hours,Intermediate,B​asic knowledge of programming (any language),"Develop data strategy and process for how data will be generated, collected, and consumed. Load and process formatted datasets such as CSV and JSON. Deal with data in various formats (e.g. timestamps, strings) and filter and “clean” datasets by removing outliers etc. Basic experience with data processing libraries such as numpy and data ingestion with urllib, requests",Python Libraries          Data Pre-Processing          Data Visualization (DataViz)          Web Scraping      ,Data Science,University of California San Diego,Enroll for Free,Python Data Products for Predictive Analytics Specialization,"Julian McAuley work for University of California San Diego,Ilkay Altintas work for University of California San Diego","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Analyze Datasets and Train ML Models using AutoML,https://www.coursera.org/learn/automl-datasets-ml-models,4.5,"11,284","Antje Barth,Shelbee Eigenbrode,Sireesha Muppala,Chris Fregly",19 hours,Advanced,"Working knowledge of ML & Python, familiarity with Jupyter notebook & stat, completion of the Deep Learning & AWS Cloud Technical Essentials courses","Prepare data, detect statistical data biases, and perform feature engineering at scale to train models with pre-built algorithms.",Statistical Data Bias Detection          Multi-class Classification with FastText and BlazingText          Data ingestion          Exploratory Data Analysis          Automated Machine Learning (AutoML)      ,Data Science,"DeepLearning.AI,Amazon Web Services",Enroll for Free,Practical Data Science Specialization,"Antje Barth work for DeepLearning.AI,Shelbee Eigenbrode work for Amazon Web Services, DeepLearning.AI,Sireesha Muppala work for DeepLearning.AI,Chris Fregly work for Amazon Web Services, DeepLearning.AI",English
Using Asylo to Protect Secret Data from an Attacker with Root Privileges,https://www.coursera.org/learn/asylo-protect-secret-data,,,Google Cloud Training,1 hour,Intermediate,,"In this Google Cloud Lab, you build a simple example enclave. The example demonstrates initializing an enclave, passing arguments to code running inside the enclave, encrypting those arguments inside the enclave, and returning the processed results. Even though this is a very simple example, it demonstrates the basic functionality provided by Asylo and the steps required to utilize that functionality. What is Asylo?Asylo is an open-source framework for developing enclave applications. It defines an abstract enclave model that can be mapped transparently onto a variety of enclave technologies (a.k.a., enclave backends). Asylo provides a software-development platform that supports a growing range of use cases. In a sense, the enclave backend can be viewed as a special-purpose embedded computer running inside a conventional machine, with Asylo providing the necessary runtime for that embedded computer.What is an enclave?On traditional systems, the Operating System (OS) kernel has unrestricted access to a machine's hardware resources. The kernel typically exposes most of its access permissions to a root user without any restrictions. Additionally, a root user can extend or modify the kernel on a running system. As a result, if an attacker can execute code with root privileges, they can compromise every secret and bypass every security policy on the machine. For instance, if an attacker obtains root access on a machine that manages TLS keys, those keys may be compromised.Enclaves are an emerging technology paradigm that changes this equation. An enclave is a special execution context where code can run protected from even the OS kernel, with the guarantee that even a user running with root privileges cannot extract the enclave's secrets or compromise its integrity. Such protections are enabled through hardware isolation technologies such as Intel SGX or ARM TrustZone, or even through additional software layers such as a hypervisor. These technologies enable new forms of isolation beyond the usual kernel/user-space separation.New security features are exciting for developers building secure applications, but in practice there is a big gap between having a raw capability and developing applications that leverage that capability. Building useful enclave applications requires tools to construct, load, and operate enclaves. Doing useful work in an enclave requires programming-language support and access to core platform libraries.Note: you will have timed access to the online environment. You will need to complete the lab within the allotted time.",enclave applications          Enclave          security          Asylo      ,Information Technology,Google Cloud,Enroll,,Google Cloud Training work for Google Cloud,English
Applying Data Analytics in Marketing,https://www.coursera.org/learn/applying-data-analytics-business-in-marketing,4.5,"15,065",Joseph T. Yun,12 hours,Intermediate,A basic familiarity with R is recommended.,"This course introduces students to customer satisfaction measurement through a wide range of analytical approaches. We will discuss the components of customer satisfaction, major issues in measuring customer satisfaction, statistical methods in analyzing customer satisfaction influence, sentiment analysis with social media data, influence analysis with social media data, and text summarization with social media data. This course aims to provide the foundation required to make better marketing decisions by analyzing multiple types of data related to customer satisfaction.",Data Analysis          Analytics          Marketing          Marketing Analytics      ,Business,University of Illinois at Urbana-Champaign,Enroll for Free,Business Analytics Specialization,Joseph T. Yun work for University of Illinois at Urbana-Champaign,English
Applying Data Analytics in Finance,https://www.coursera.org/learn/applying-data-analytics-business-in-finance,4.5,"15,054","Sung Won Kim,Jose Luis Rodriguez",23 hours,Intermediate,,Understand the forecasting process. Describe time series data. Develop an ARIMA Model. Understand a basic trading algorithm,,Business,University of Illinois at Urbana-Champaign,Enroll for Free,,"Sung Won Kim work for University of Illinois at Urbana-Champaign,Jose Luis Rodriguez work for University of Illinois at Urbana-Champaign, Coursera Project Network","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Applied Data Science for Data Analysts,https://www.coursera.org/learn/applied-data-science-for-data-analysts,4.2,"1,910","Kevin Coyle,Mark Roepke,Emma Freeman",16 hours,Intermediate,Completion of the first two courses in the Data Science with Databricks for Data Analysts Coursera specialization. This course is the final course.,Explore data using unsupervised machine learning.  Solve complex supervised learning problems using tree-based models. Apply hyperparameter tuning and cross-validation strategies to improve model performance.,Data Science          Machine Learning          Databricks      ,Data Science,Databricks,Enroll for Free,Data Science with Databricks for Data Analysts Specialization,"Kevin Coyle work for Databricks,Mark Roepke work for Databricks,Emma Freeman work for Databricks",English
Applied Data Science Capstone,https://www.coursera.org/learn/applied-data-science-capstone,4.7,"87,418","Yan Luo,Joseph Santarcangelo",11 hours,Intermediate,,"Explain the capstone project scenario and a problem that you will solve with location data.  Select a location data provider based on its features.  Demonstrate proficiency by creating a Jupyter Notebook for the capstone project and sharing it for peer review.  Describe the types of location data available in the Foursquare dataset.",Data Science          Methodology          Github          Jupyter Notebook          K-Means Clustering      ,Data Science,IBM,Enroll for Free,,"Yan Luo work for IBM,Joseph Santarcangelo work for Coursera, IBM",English
Apache Spark (TM) SQL for Data Analysts,https://www.coursera.org/learn/apache-spark-sql-for-data-analysts,4.6,"9,642",Kate Sullivan,14 hours,Intermediate,Familiarity with SQL ,"Ingest, transform, and query data to extract valuable insights. Leverage existing SQL skills to start working with Apache Spark.",Data Analysis          Spark SQL          SQL      ,Data Science,Databricks,Enroll for Free,Data Science with Databricks for Data Analysts Specialization,Kate Sullivan work for Databricks,English
Applied Analytics and Data for Decision Making,https://www.coursera.org/learn/analytics-data-decisions,4.5,,"Akshay Sivadas,Brittany O'Dea",11 hours,Beginner,"It is helpful if learners have some familiarity with reading reports, gathering and using data, and interpreting visualizations.","Describe techniques to Identify root causes of variation and tools for evaluating potential solutions. Apply the Design of Experiments (DOE) technique to test improvement options. Evaluate, for a specific organization, which operational excellence methodology provides the maximum value. Explain how to foster a culture of data literacy",ISO 9001: 2015          Lean          Design of Experiments (DOE)          Data-Driven Decision Making          Six Sigma      ,Business,"University at Buffalo,The State University of New York",Enroll for Free,Data-Driven Decision Making (DDDM) Specialization,"Akshay Sivadas work for The State University of New York, University at Buffalo,Brittany O'Dea work for The State University of New York",English
Analyze Data to Answer Questions,https://www.coursera.org/learn/analyze-data,4.6,"78,275",Google Career Certificates,26 hours,Beginner,No prior experience with spreadsheets or data analytics is required. All you need is high-school level math and a curiosity about how things work. ,Discuss the importance of organizing your data before analysis with references to sorts and filters. Demonstrate an understanding of what is involved in the conversion and formatting of data. Apply the use of functions and syntax to create SQL queries for combining data from multiple database tables. Describe the use of functions to conduct basic calculations on data in spreadsheets,Spreadsheet          Data Analysis          SQL          Data Calculations          Data Aggregation      ,Data Science,Google,Enroll for Free,Google Data Analytics Professional Certificate,Google Career Certificates work for Google,English
Big Data Analytical Platform on Alibaba Cloud ,https://www.coursera.org/learn/alibabacloudbigdata,4.4,,Derek Meng,8 hours,Intermediate,"Cloud Computing Fundamental Knowledge, Background in Statistical Theory ",Learn the Big Data Theory. Take data in different formats to Put in Alibaba Cloud Big Data Products. Analyze Sets of Data to produce meaningful conclusions. Draw Graphs and Tables to demonstrate the analysis of Big Data Results,,Information Technology,Alibaba Cloud Academy,Enroll for Free,Alibaba Cloud Computing Specialization,Derek Meng work for Alibaba Cloud Academy,Subtitles: English
"Graph Search, Shortest Paths, and Data Structures",https://www.coursera.org/learn/algorithms-graphs-data-structures,4.8,"66,570",Tim Roughgarden,15 hours,Intermediate,,"The primary topics in this part of the specialization are: data structures (heaps, balanced search trees, hash tables, bloom filters), graph primitives (applications of breadth-first and depth-first search, connectivity, shortest paths), and their applications (ranging from deduplication to social network analysis).",Graphs          Data Structure          Algorithms          Hash Table      ,Computer Science,Stanford University,Enroll for Free,Algorithms Specialization,Tim Roughgarden work for Stanford University,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Algorithms, Data Collection, and Starting to Code",https://www.coursera.org/learn/algorithms-data-collection-code,4.6,"16,586","Dr. Tim ""Dr. T"" Chamillard",15 hours,Beginner,,"This course starts you on your journey learning about computational thinking and beginning C programming. If you’d like to explore how we can interact with the world in a rigorous, computational way, and would also like to start learning to program, this is the course for you!. You may have heard lots of talk about computational thinking recently, but if you ask 10 different people what it is you’ll probably get 10 different answers. Rather than trying to define computational thinking, we’ll just say it’s a problem-solving process that includes lots of different components. In this course, we’ll explore algorithms and data collection.Most people have a better understanding of what beginning C programming means! You’ll start learning how to develop C programs in this course by writing your first C program; learning about data types, variables, and constants; and honing your C programming skills by implementing a variety of STEM computations. This course doesn't assume you have any previous programming experience, so don't worry if you've never written code before.If that all sounds interesting to you, go ahead and jump into the course!Caution: Beginning (assuming no prior programming knowledge) is not the same as easy (not hard to do). Learning to program IS hard to do, especially since the courses in this specialization are built from a freshman-level college course. Meeting the course challenges while you master the material will be rewarding to you, but doing that will require hard work and maybe even a few expletives along the way.Module 1: Learn about algorithms and write your first C programModule 2: Discover how we store data in our programsModule 3: Explore how we use data collection to solve problems and answer questionsModule 4: Practice writing C programs to implement STEM computations",,Computer Science,University of Colorado System,Enroll for Free,Computational Thinking with Beginning C Programming Specialization,"Dr. Tim ""Dr. T"" Chamillard work for Coursera, University of Colorado System","Subtitles: Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
"Artificial Intelligence Data Fairness and Bias						",https://www.coursera.org/learn/ai-data-bias,4.8,"3,247",Brent Summers,6 hours,Beginner,,"In this course, we will explore fundamental issues of fairness and bias in machine learning. As predictive models begin making important decisions, from college admission to loan decisions, it becomes paramount to keep models from making unfair predictions. From human bias to dataset awareness, we will explore many aspects of building more ethical models.",machine learning fairness          Ethics          data bias      ,Computer Science,LearnQuest,Enroll for Free,Ethics in the Age of AI Specialization,Brent Summers work for LearnQuest,"French, Portuguese (European), Russian, English, Spanish"
Advanced Clinical Data Science,https://www.coursera.org/learn/advanced-clinical-data-science,,,"Michael G. Kahn, MD, PhD,Laura K. Wiley, PhD",4 hours,Intermediate,,This course prepares you to deal with advanced clinical data science topics and techniques including temporal and research quality analysis.,,Data Science,University of Colorado System,Enroll for Free,Clinical Data Science Specialization,"Michael G. Kahn, MD, PhD work for University of Colorado System,Laura K. Wiley, PhD work for University of Colorado System",Subtitles: English
